ma_id,review_id,audit_score,consistency_score,robustness_score,stability_score,power_score,final_score,grade,grade_label,percentile_rank
CD013614_pub2_data__A28,CD013614,92.0,100.0,100.0,99.9,100.0,98,A+,Highly Trustworthy,99.9
CD003774_pub5_data__A10,CD003774,92.0,100.0,100.0,99.9,100.0,98,A+,Highly Trustworthy,99.9
CD001155_pub3_data__A5,CD001155,92.0,100.0,100.0,99.9,100.0,98,A+,Highly Trustworthy,99.9
CD013366_pub2_data__A5,CD013366,92.0,100.0,100.0,99.7,100.0,98,A+,Highly Trustworthy,99.9
CD003774_pub5_data__A5,CD003774,92.0,100.0,100.0,99.9,100.0,98,A+,Highly Trustworthy,99.9
CD003774_pub5_data__A2,CD003774,92.0,100.0,100.0,99.9,100.0,98,A+,Highly Trustworthy,99.9
CD007784_pub3_data__A37,CD007784,92.0,100.0,100.0,99.9,100.0,98,A+,Highly Trustworthy,99.9
CD007784_pub3_data__A25,CD007784,92.0,100.0,100.0,99.9,100.0,98,A+,Highly Trustworthy,99.9
CD007784_pub3_data__A22,CD007784,92.0,100.0,100.0,99.9,100.0,98,A+,Highly Trustworthy,99.9
CD007784_pub3_data__A5,CD007784,92.0,100.0,100.0,99.9,100.0,98,A+,Highly Trustworthy,99.9
CD009362_pub4_data__A4,CD009362,92.0,100.0,100.0,99.9,100.0,98,A+,Highly Trustworthy,99.9
CD011762_pub2_data__A9,CD011762,92.0,100.0,100.0,100.0,100.0,98,A+,Highly Trustworthy,99.9
CD011535_pub7_data__A13,CD011535,92.0,100.0,100.0,99.9,100.0,98,A+,Highly Trustworthy,99.9
CD001909_pub4_data__A1,CD001909,92.0,100.0,100.0,99.6,100.0,98,A+,Highly Trustworthy,99.9
CD007784_pub3_data__A54,CD007784,92.0,100.0,100.0,99.9,100.0,98,A+,Highly Trustworthy,99.9
CD007784_pub3_data__A48,CD007784,92.0,100.0,100.0,99.9,100.0,98,A+,Highly Trustworthy,99.9
CD012712_pub2_data__A15,CD012712,92.0,100.0,100.0,99.8,100.0,98,A+,Highly Trustworthy,99.9
CD011762_pub2_data__A3,CD011762,92.0,100.0,100.0,100.0,100.0,98,A+,Highly Trustworthy,99.9
CD003774_pub5_data__A7,CD003774,84.0,100.0,100.0,99.9,100.0,97,A+,Highly Trustworthy,99.7
CD003774_pub5_data__A13,CD003774,84.0,100.0,100.0,99.9,100.0,97,A+,Highly Trustworthy,99.7
CD009749_pub3_data__A6,CD009749,84.0,100.0,100.0,99.9,100.0,97,A+,Highly Trustworthy,99.7
CD013071_pub2_data__A8,CD013071,84.0,100.0,100.0,99.7,100.0,97,A+,Highly Trustworthy,99.7
CD013071_pub2_data__A20,CD013071,84.0,100.0,100.0,99.7,100.0,97,A+,Highly Trustworthy,99.7
CD001909_pub4_data__A4,CD001909,84.0,100.0,100.0,99.6,100.0,97,A+,Highly Trustworthy,99.7
CD001155_pub3_data__A1,CD001155,84.0,100.0,100.0,99.9,100.0,97,A+,Highly Trustworthy,99.7
CD013830_pub2_data__A7,CD013830,84.0,100.0,100.0,99.9,100.0,97,A+,Highly Trustworthy,99.7
CD006257_pub2_data__A5,CD006257,92.0,100.0,90.0,99.9,100.0,96,A+,Highly Trustworthy,99.6
CD007784_pub3_data__A4,CD007784,100.0,100.0,100.0,99.9,75.0,95,A+,Highly Trustworthy,99.5
CD016131_data__A3,CD016131,92.0,100.0,90.0,92.8,100.0,95,A+,Highly Trustworthy,99.5
CD007784_pub3_data__A55,CD007784,100.0,100.0,100.0,99.9,75.0,95,A+,Highly Trustworthy,99.5
CD003598_pub3_data__A2,CD003598,84.0,100.0,90.0,99.9,100.0,95,A+,Highly Trustworthy,99.5
CD002042_pub6_data__A32,CD002042,76.0,100.0,100.0,99.6,100.0,95,A+,Highly Trustworthy,99.5
CD016131_data__A2,CD016131,92.0,100.0,90.0,92.8,100.0,95,A+,Highly Trustworthy,99.5
CD007026_pub7_data__A2,CD007026,84.0,100.0,90.0,99.4,100.0,95,A+,Highly Trustworthy,99.5
CD011600_pub3_data__A12,CD011600,100.0,100.0,90.0,99.3,75.0,93,A+,Highly Trustworthy,99.4
CD011600_pub3_data__A25,CD011600,100.0,100.0,90.0,99.3,75.0,93,A+,Highly Trustworthy,99.4
CD015536_pub2_data__A2,CD015536,76.0,100.0,90.0,99.9,100.0,93,A+,Highly Trustworthy,99.4
CD011600_pub3_data__A14,CD011600,100.0,100.0,90.0,99.3,75.0,93,A+,Highly Trustworthy,99.4
CD013830_pub2_data__A10,CD013830,92.0,100.0,100.0,99.9,75.0,93,A+,Highly Trustworthy,99.4
CD003598_pub3_data__A18,CD003598,100.0,100.0,90.0,99.9,75.0,93,A+,Highly Trustworthy,99.4
CD012712_pub2_data__A5,CD012712,84.0,80.0,100.0,99.8,100.0,93,A+,Highly Trustworthy,99.4
