ma_id,review_id,audit_score,consistency_score,robustness_score,stability_score,power_score,final_score,grade,grade_label,percentile_rank
CD013830_pub2_data__A11,CD013830,92.0,100.0,100.0,99.9,75.0,93,A+,Highly Trustworthy,99.4
CD013614_pub2_data__A19,CD013614,92.0,100.0,100.0,99.9,75.0,93,A+,Highly Trustworthy,99.4
CD013874_pub3_data__A11,CD013874,92.0,100.0,100.0,99.5,75.0,93,A+,Highly Trustworthy,99.4
CD016211_data__A2,CD016211,100.0,100.0,90.0,99.7,75.0,93,A+,Highly Trustworthy,99.4
CD013614_pub2_data__A18,CD013614,72.0,100.0,90.0,99.9,100.0,92,A+,Highly Trustworthy,99.2
CD009749_pub3_data__A2,CD009749,84.0,100.0,100.0,99.9,75.0,92,A+,Highly Trustworthy,99.2
CD014722_pub2_data__A1,CD014722,84.0,100.0,80.0,96.6,100.0,92,A+,Highly Trustworthy,99.2
CD013830_pub2_data__A13,CD013830,84.0,100.0,100.0,99.9,75.0,92,A+,Highly Trustworthy,99.2
CD010290_pub4_data__A1,CD010290,84.0,100.0,100.0,99.9,75.0,92,A+,Highly Trustworthy,99.2
CD006023_pub4_data__A7,CD006023,92.0,100.0,90.0,73.8,100.0,91,A+,Highly Trustworthy,99.1
CD006023_pub4_data__A13,CD006023,92.0,100.0,90.0,73.8,100.0,91,A+,Highly Trustworthy,99.1
CD005133_pub4_data__A8,CD005133,76.0,100.0,80.0,98.8,100.0,91,A+,Highly Trustworthy,99.1
CD003743_pub3_data__A4,CD003743,92.0,100.0,90.0,99.7,75.0,91,A+,Highly Trustworthy,99.1
CD012426_pub2_data__A4,CD012426,92.0,100.0,90.0,99.0,75.0,91,A+,Highly Trustworthy,99.1
CD011600_pub3_data__A23,CD011600,92.0,100.0,90.0,99.3,75.0,91,A+,Highly Trustworthy,99.1
CD011600_pub3_data__A10,CD011600,92.0,100.0,90.0,99.3,75.0,91,A+,Highly Trustworthy,99.1
CD003333_pub4_data__A3,CD003333,100.0,100.0,80.0,99.7,75.0,91,A+,Highly Trustworthy,99.1
CD007784_pub3_data__A50,CD007784,80.0,100.0,70.0,99.9,100.0,90,A+,Highly Trustworthy,99.0
CD007784_pub3_data__A24,CD007784,80.0,100.0,70.0,99.9,100.0,90,A+,Highly Trustworthy,99.0
CD007784_pub3_data__A23,CD007784,80.0,100.0,70.0,99.9,100.0,90,A+,Highly Trustworthy,99.0
CD006536_pub5_data__A3,CD006536,80.0,100.0,70.0,99.7,100.0,90,A+,Highly Trustworthy,99.0
CD007784_pub3_data__A38,CD007784,80.0,100.0,70.0,99.9,100.0,90,A+,Highly Trustworthy,99.0
CD007784_pub3_data__A53,CD007784,80.0,100.0,70.0,99.9,100.0,90,A+,Highly Trustworthy,99.0
CD013425_pub2_data__A12,CD013425,80.0,100.0,70.0,99.7,100.0,90,A+,Highly Trustworthy,99.0
CD010290_pub4_data__A3,CD010290,80.0,100.0,70.0,99.9,100.0,90,A+,Highly Trustworthy,99.0
CD003376_pub4_data__A5,CD003376,80.0,100.0,70.0,99.8,100.0,90,A+,Highly Trustworthy,99.0
CD013541_pub2_data__A1,CD013541,80.0,100.0,70.0,98.1,100.0,90,A+,Highly Trustworthy,99.0
CD007784_pub3_data__A1,CD007784,80.0,100.0,70.0,99.9,100.0,90,A+,Highly Trustworthy,99.0
CD010290_pub4_data__A10,CD010290,80.0,100.0,70.0,99.9,100.0,90,A+,Highly Trustworthy,99.0
CD001155_pub3_data__A3,CD001155,80.0,100.0,70.0,99.9,100.0,90,A+,Highly Trustworthy,99.0
CD009298_pub3_data__A28,CD009298,92.0,100.0,50.0,98.3,100.0,88,A,Trustworthy,97.9
CD005595_pub4_data__A11,CD005595,92.0,100.0,50.0,99.8,100.0,88,A,Trustworthy,97.9
CD007784_pub3_data__A51,CD007784,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD007784_pub3_data__A44,CD007784,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD013614_pub2_data__A27,CD013614,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD009298_pub3_data__A27,CD009298,92.0,100.0,50.0,98.3,100.0,88,A,Trustworthy,97.9
CD007784_pub3_data__A42,CD007784,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD007784_pub3_data__A40,CD007784,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD013830_pub2_data__A2,CD013830,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD009749_pub3_data__A3,CD009749,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD010966_pub4_data__A1,CD010966,92.0,100.0,50.0,96.0,100.0,88,A,Trustworthy,97.9
CD006536_pub5_data__A21,CD006536,92.0,100.0,50.0,99.7,100.0,88,A,Trustworthy,97.9
CD009298_pub3_data__A16,CD009298,92.0,100.0,50.0,98.3,100.0,88,A,Trustworthy,97.9
CD006536_pub5_data__A2,CD006536,72.0,100.0,70.0,99.7,100.0,88,A,Trustworthy,97.9
CD009298_pub3_data__A8,CD009298,92.0,100.0,50.0,98.3,100.0,88,A,Trustworthy,97.9
CD016136_data__A5,CD016136,92.0,100.0,50.0,99.4,100.0,88,A,Trustworthy,97.9
CD016136_data__A4,CD016136,92.0,100.0,50.0,99.4,100.0,88,A,Trustworthy,97.9
CD010966_pub4_data__A3,CD010966,92.0,100.0,50.0,96.0,100.0,88,A,Trustworthy,97.9
CD007784_pub3_data__A28,CD007784,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD007784_pub3_data__A30,CD007784,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD007784_pub3_data__A58,CD007784,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD007784_pub3_data__A59,CD007784,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD013614_pub2_data__A9,CD013614,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD013071_pub2_data__A19,CD013071,92.0,100.0,50.0,99.7,100.0,88,A,Trustworthy,97.9
CD013614_pub2_data__A7,CD013614,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD007784_pub3_data__A60,CD007784,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD010290_pub4_data__A9,CD010290,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD001155_pub3_data__A6,CD001155,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD013541_pub2_data__A4,CD013541,92.0,100.0,50.0,98.1,100.0,88,A,Trustworthy,97.9
CD013830_pub2_data__A9,CD013830,92.0,100.0,100.0,99.9,50.0,88,A,Trustworthy,97.9
CD003376_pub4_data__A4,CD003376,72.0,100.0,70.0,99.8,100.0,88,A,Trustworthy,97.9
CD006536_pub5_data__A5,CD006536,92.0,100.0,50.0,99.7,100.0,88,A,Trustworthy,97.9
CD013071_pub2_data__A2,CD013071,92.0,100.0,50.0,99.7,100.0,88,A,Trustworthy,97.9
CD013071_pub2_data__A3,CD013071,92.0,100.0,50.0,99.7,100.0,88,A,Trustworthy,97.9
CD004376_pub4_data__A5,CD004376,92.0,100.0,50.0,99.7,100.0,88,A,Trustworthy,97.9
CD012712_pub2_data__A14,CD012712,92.0,100.0,50.0,99.8,100.0,88,A,Trustworthy,97.9
CD006536_pub5_data__A15,CD006536,92.0,100.0,50.0,99.7,100.0,88,A,Trustworthy,97.9
CD007784_pub3_data__A47,CD007784,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD013425_pub2_data__A4,CD013425,72.0,100.0,70.0,99.7,100.0,88,A,Trustworthy,97.9
CD007784_pub3_data__A52,CD007784,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD013614_pub2_data__A17,CD013614,72.0,80.0,90.0,99.9,100.0,88,A,Trustworthy,97.9
CD013614_pub2_data__A31,CD013614,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD013614_pub2_data__A11,CD013614,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD013614_pub2_data__A13,CD013614,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD013614_pub2_data__A14,CD013614,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD002042_pub6_data__A12,CD002042,92.0,100.0,50.0,99.6,100.0,88,A,Trustworthy,97.9
CD013614_pub2_data__A15,CD013614,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD013614_pub2_data__A10,CD013614,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD009298_pub3_data__A12,CD009298,92.0,100.0,50.0,98.3,100.0,88,A,Trustworthy,97.9
CD003598_pub3_data__A1,CD003598,80.0,100.0,60.0,99.9,100.0,88,A,Trustworthy,97.9
CD013614_pub2_data__A16,CD013614,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD009298_pub3_data__A7,CD009298,92.0,100.0,50.0,98.3,100.0,88,A,Trustworthy,97.9
CD010290_pub4_data__A4,CD010290,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD010290_pub4_data__A2,CD010290,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD009749_pub3_data__A5,CD009749,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD010290_pub4_data__A6,CD010290,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD009252_pub2_data__A1,CD009252,92.0,100.0,50.0,99.4,100.0,88,A,Trustworthy,97.9
CD007859_pub5_data__A3,CD007859,92.0,100.0,50.0,96.9,100.0,88,A,Trustworthy,97.9
CD007784_pub3_data__A21,CD007784,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD013071_pub2_data__A6,CD013071,92.0,100.0,50.0,99.7,100.0,88,A,Trustworthy,97.9
CD003376_pub4_data__A6,CD003376,92.0,100.0,50.0,99.8,100.0,88,A,Trustworthy,97.9
CD007310_pub3_data__A5,CD007310,72.0,100.0,70.0,95.6,100.0,88,A,Trustworthy,97.9
CD011762_pub2_data__A6,CD011762,72.0,100.0,70.0,100.0,100.0,88,A,Trustworthy,97.9
CD003774_pub5_data__A14,CD003774,72.0,100.0,70.0,99.9,100.0,88,A,Trustworthy,97.9
CD003774_pub5_data__A12,CD003774,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD013366_pub2_data__A7,CD013366,92.0,100.0,50.0,99.7,100.0,88,A,Trustworthy,97.9
CD002042_pub6_data__A11,CD002042,92.0,100.0,50.0,99.6,100.0,88,A,Trustworthy,97.9
CD002042_pub6_data__A10,CD002042,92.0,100.0,50.0,99.6,100.0,88,A,Trustworthy,97.9
CD002042_pub6_data__A24,CD002042,92.0,100.0,50.0,99.6,100.0,88,A,Trustworthy,97.9
CD002042_pub6_data__A27,CD002042,92.0,100.0,50.0,99.6,100.0,88,A,Trustworthy,97.9
CD011762_pub2_data__A1,CD011762,72.0,100.0,70.0,100.0,100.0,88,A,Trustworthy,97.9
CD002042_pub6_data__A7,CD002042,92.0,100.0,50.0,99.6,100.0,88,A,Trustworthy,97.9
CD002042_pub6_data__A30,CD002042,92.0,100.0,50.0,99.6,100.0,88,A,Trustworthy,97.9
CD002042_pub6_data__A6,CD002042,92.0,100.0,50.0,99.6,100.0,88,A,Trustworthy,97.9
CD007784_pub3_data__A20,CD007784,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD013071_pub2_data__A7,CD013071,92.0,100.0,50.0,99.7,100.0,88,A,Trustworthy,97.9
CD013071_pub2_data__A12,CD013071,92.0,100.0,50.0,99.7,100.0,88,A,Trustworthy,97.9
CD013071_pub2_data__A15,CD013071,92.0,100.0,50.0,99.7,100.0,88,A,Trustworthy,97.9
CD002042_pub6_data__A13,CD002042,92.0,100.0,50.0,99.6,100.0,88,A,Trustworthy,97.9
CD002042_pub6_data__A8,CD002042,92.0,100.0,50.0,99.6,100.0,88,A,Trustworthy,97.9
CD002042_pub6_data__A9,CD002042,92.0,100.0,50.0,99.6,100.0,88,A,Trustworthy,97.9
CD002042_pub6_data__A17,CD002042,92.0,100.0,50.0,99.6,100.0,88,A,Trustworthy,97.9
CD001909_pub4_data__A5,CD001909,92.0,100.0,50.0,99.6,100.0,88,A,Trustworthy,97.9
CD009298_pub3_data__A23,CD009298,92.0,100.0,50.0,98.3,100.0,88,A,Trustworthy,97.9
CD009298_pub3_data__A15,CD009298,92.0,100.0,50.0,98.3,100.0,88,A,Trustworthy,97.9
CD009298_pub3_data__A24,CD009298,92.0,100.0,50.0,98.3,100.0,88,A,Trustworthy,97.9
CD005595_pub4_data__A5,CD005595,92.0,100.0,50.0,99.8,100.0,88,A,Trustworthy,97.9
CD005595_pub4_data__A3,CD005595,92.0,100.0,50.0,99.8,100.0,88,A,Trustworthy,97.9
CD011197_pub3_data__A20,CD011197,92.0,100.0,50.0,99.5,100.0,88,A,Trustworthy,97.9
CD009298_pub3_data__A11,CD009298,92.0,100.0,50.0,98.3,100.0,88,A,Trustworthy,97.9
CD013541_pub2_data__A2,CD013541,92.0,100.0,50.0,98.1,100.0,88,A,Trustworthy,97.9
CD013541_pub2_data__A3,CD013541,92.0,100.0,50.0,98.1,100.0,88,A,Trustworthy,97.9
CD013830_pub2_data__A8,CD013830,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD013508_pub3_data__A1,CD013508,92.0,100.0,50.0,98.4,100.0,88,A,Trustworthy,97.9
CD001155_pub3_data__A9,CD001155,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD001155_pub3_data__A7,CD001155,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD003774_pub5_data__A1,CD003774,72.0,100.0,70.0,99.9,100.0,88,A,Trustworthy,97.9
CD016136_data__A3,CD016136,92.0,100.0,50.0,99.4,100.0,88,A,Trustworthy,97.9
CD006257_pub2_data__A14,CD006257,80.0,100.0,60.0,99.9,100.0,88,A,Trustworthy,97.9
CD006536_pub5_data__A4,CD006536,92.0,100.0,50.0,99.7,100.0,88,A,Trustworthy,97.9
CD015083_pub2_data__A1,CD015083,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD015083_pub2_data__A10,CD015083,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD014792_pub2_data__A3,CD014792,92.0,100.0,50.0,99.8,100.0,88,A,Trustworthy,97.9
CD014792_pub2_data__A5,CD014792,92.0,100.0,50.0,99.8,100.0,88,A,Trustworthy,97.9
CD015083_pub2_data__A6,CD015083,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD015083_pub2_data__A8,CD015083,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD007784_pub3_data__A11,CD007784,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD014967_pub2_data__A3,CD014967,92.0,100.0,50.0,100.0,100.0,88,A,Trustworthy,97.9
CD003376_pub4_data__A3,CD003376,72.0,100.0,70.0,99.8,100.0,88,A,Trustworthy,97.9
CD015673_pub2_data__A3,CD015673,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD015083_pub2_data__A3,CD015083,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD015083_pub2_data__A12,CD015083,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD011866_pub3_data__A7,CD011866,92.0,100.0,50.0,99.8,100.0,88,A,Trustworthy,97.9
CD011866_pub3_data__A6,CD011866,92.0,100.0,50.0,99.8,100.0,88,A,Trustworthy,97.9
CD015350_pub2_data__A1,CD015350,92.0,100.0,50.0,98.2,100.0,88,A,Trustworthy,97.9
CD013071_pub2_data__A10,CD013071,92.0,100.0,50.0,99.7,100.0,88,A,Trustworthy,97.9
CD007784_pub3_data__A33,CD007784,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD007784_pub3_data__A35,CD007784,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD007784_pub3_data__A19,CD007784,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD015673_pub2_data__A5,CD015673,92.0,100.0,50.0,99.9,100.0,88,A,Trustworthy,97.9
CD013071_pub2_data__A11,CD013071,92.0,100.0,50.0,99.7,100.0,88,A,Trustworthy,97.9
CD006536_pub5_data__A1,CD006536,72.0,100.0,70.0,99.7,100.0,88,A,Trustworthy,97.9
CD006536_pub5_data__A17,CD006536,84.0,100.0,50.0,99.7,100.0,87,A,Trustworthy,96.7
CD013396_pub2_data__A5,CD013396,84.0,100.0,50.0,99.8,100.0,87,A,Trustworthy,96.7
CD007784_pub3_data__A45,CD007784,84.0,100.0,50.0,99.9,100.0,87,A,Trustworthy,96.7
CD013614_pub2_data__A24,CD013614,84.0,100.0,50.0,99.9,100.0,87,A,Trustworthy,96.7
CD013614_pub2_data__A12,CD013614,84.0,100.0,50.0,99.9,100.0,87,A,Trustworthy,96.7
CD007784_pub3_data__A26,CD007784,84.0,100.0,50.0,99.9,100.0,87,A,Trustworthy,96.7
CD005595_pub4_data__A1,CD005595,84.0,100.0,50.0,99.8,100.0,87,A,Trustworthy,96.7
CD005566_pub4_data__A3,CD005566,64.0,100.0,70.0,99.5,100.0,87,A,Trustworthy,96.7
CD009749_pub3_data__A1,CD009749,84.0,100.0,50.0,99.9,100.0,87,A,Trustworthy,96.7
CD009749_pub3_data__A10,CD009749,84.0,100.0,50.0,99.9,100.0,87,A,Trustworthy,96.7
CD002042_pub6_data__A14,CD002042,84.0,100.0,50.0,99.6,100.0,87,A,Trustworthy,96.7
CD002042_pub6_data__A21,CD002042,84.0,100.0,50.0,99.6,100.0,87,A,Trustworthy,96.7
CD002042_pub6_data__A15,CD002042,84.0,100.0,50.0,99.6,100.0,87,A,Trustworthy,96.7
CD002042_pub6_data__A22,CD002042,84.0,100.0,50.0,99.6,100.0,87,A,Trustworthy,96.7
CD009252_pub2_data__A4,CD009252,64.0,100.0,70.0,99.4,100.0,87,A,Trustworthy,96.7
CD012712_pub2_data__A9,CD012712,84.0,100.0,50.0,99.8,100.0,87,A,Trustworthy,96.7
CD003774_pub5_data__A11,CD003774,84.0,100.0,50.0,99.9,100.0,87,A,Trustworthy,96.7
CD013366_pub2_data__A1,CD013366,64.0,100.0,70.0,99.7,100.0,87,A,Trustworthy,96.7
CD013396_pub2_data__A4,CD013396,84.0,100.0,50.0,99.8,100.0,87,A,Trustworthy,96.7
CD008858_pub5_data__A4,CD008858,84.0,100.0,50.0,99.9,100.0,87,A,Trustworthy,96.7
CD002042_pub6_data__A23,CD002042,84.0,100.0,50.0,99.6,100.0,87,A,Trustworthy,96.7
CD002042_pub6_data__A28,CD002042,84.0,100.0,50.0,99.6,100.0,87,A,Trustworthy,96.7
CD002042_pub6_data__A19,CD002042,84.0,100.0,50.0,99.6,100.0,87,A,Trustworthy,96.7
CD002042_pub6_data__A18,CD002042,84.0,100.0,50.0,99.6,100.0,87,A,Trustworthy,96.7
CD006536_pub5_data__A8,CD006536,84.0,100.0,50.0,99.7,100.0,87,A,Trustworthy,96.7
CD007784_pub3_data__A36,CD007784,84.0,100.0,50.0,99.9,100.0,87,A,Trustworthy,96.7
CD007784_pub3_data__A32,CD007784,84.0,100.0,50.0,99.9,100.0,87,A,Trustworthy,96.7
CD007784_pub3_data__A14,CD007784,84.0,100.0,50.0,99.9,100.0,87,A,Trustworthy,96.7
CD015215_pub2_data__A18,CD015215,92.0,100.0,100.0,90.8,50.0,87,A,Trustworthy,96.7
CD005566_pub4_data__A1,CD005566,64.0,100.0,70.0,99.5,100.0,87,A,Trustworthy,96.7
CD005566_pub4_data__A2,CD005566,64.0,100.0,70.0,99.5,100.0,87,A,Trustworthy,96.7
CD007024_pub3_data__A8,CD007024,84.0,100.0,50.0,99.9,100.0,87,A,Trustworthy,96.7
CD003598_pub3_data__A10,CD003598,92.0,100.0,40.0,99.9,100.0,86,A,Trustworthy,95.8
CD003598_pub3_data__A11,CD003598,92.0,100.0,40.0,99.9,100.0,86,A,Trustworthy,95.8
CD016031_data__A13,CD016031,92.0,100.0,40.0,97.0,100.0,86,A,Trustworthy,95.8
CD016031_data__A14,CD016031,92.0,100.0,40.0,97.0,100.0,86,A,Trustworthy,95.8
CD016031_data__A15,CD016031,92.0,100.0,40.0,97.0,100.0,86,A,Trustworthy,95.8
CD016031_data__A16,CD016031,92.0,100.0,40.0,97.0,100.0,86,A,Trustworthy,95.8
CD016031_data__A18,CD016031,92.0,100.0,40.0,97.0,100.0,86,A,Trustworthy,95.8
CD003598_pub3_data__A14,CD003598,92.0,100.0,40.0,99.9,100.0,86,A,Trustworthy,95.8
CD003598_pub3_data__A15,CD003598,92.0,100.0,40.0,99.9,100.0,86,A,Trustworthy,95.8
CD003598_pub3_data__A16,CD003598,92.0,100.0,40.0,99.9,100.0,86,A,Trustworthy,95.8
CD003598_pub3_data__A17,CD003598,92.0,100.0,40.0,99.9,100.0,86,A,Trustworthy,95.8
CD003598_pub3_data__A19,CD003598,92.0,100.0,40.0,99.9,100.0,86,A,Trustworthy,95.8
CD003598_pub3_data__A24,CD003598,92.0,100.0,40.0,99.9,100.0,86,A,Trustworthy,95.8
CD003598_pub3_data__A25,CD003598,92.0,100.0,40.0,99.9,100.0,86,A,Trustworthy,95.8
CD013758_pub2_data__A1,CD013758,92.0,100.0,40.0,99.7,100.0,86,A,Trustworthy,95.8
CD006257_pub2_data__A9,CD006257,92.0,100.0,40.0,99.9,100.0,86,A,Trustworthy,95.8
CD011885_pub2_data__A8,CD011885,92.0,100.0,40.0,98.3,100.0,86,A,Trustworthy,95.8
CD003774_pub5_data__A18,CD003774,72.0,100.0,60.0,99.9,100.0,86,A,Trustworthy,95.8
CD003774_pub5_data__A6,CD003774,72.0,100.0,60.0,99.9,100.0,86,A,Trustworthy,95.8
CD015192_pub2_data__A2,CD015192,92.0,100.0,40.0,98.8,100.0,86,A,Trustworthy,95.8
CD015192_pub2_data__A3,CD015192,92.0,100.0,40.0,98.8,100.0,86,A,Trustworthy,95.8
CD009679_pub3_data__A2,CD009679,92.0,100.0,40.0,97.5,100.0,86,A,Trustworthy,95.8
CD009679_pub3_data__A4,CD009679,92.0,100.0,40.0,97.5,100.0,86,A,Trustworthy,95.8
CD013758_pub2_data__A2,CD013758,92.0,100.0,40.0,99.7,100.0,86,A,Trustworthy,95.8
CD013758_pub2_data__A20,CD013758,92.0,100.0,40.0,99.7,100.0,86,A,Trustworthy,95.8
CD013758_pub2_data__A3,CD013758,92.0,100.0,40.0,99.7,100.0,86,A,Trustworthy,95.8
CD013758_pub2_data__A4,CD013758,92.0,100.0,40.0,99.7,100.0,86,A,Trustworthy,95.8
